"FREQ";"Y";"r xyce/I(PR2)";"i xyce/I(PR2)"
2.5e+11;0.00838693;1.52398e-19;1.57702e-19
-2.5e+11;0.00863316;3.56359e-19;-4.73588e-19
-2e+11;0.00863316;5.57002e-19;-3.15262e-19
-1.5e+11;0.00863316;3.47403e-19;7.89165e-19
-1e+11;0.00863316;-4.79815e-20;2.37169e-19
-5e+10;0.00863316;-1.42366e-18;0.00431658
0;0.00863316;1.58374e-17;0
5e+10;0.00863316;-1.42366e-18;-0.00431658
1e+11;0.00863316;-4.79815e-20;-2.37169e-19
1.5e+11;0.00863316;3.47403e-19;-7.89165e-19
2e+11;0.00863316;5.57002e-19;3.15262e-19
2.5e+11;0.00863316;3.56359e-19;4.73588e-19
-2.5e+11;0.00887939;3.25048e-19;-3.00797e-21
-2e+11;0.00887939;5.25833e-19;-2.0021e-21
-1.5e+11;0.00887939;1.39156e-19;3.19495e-19
-1e+11;0.00887939;1.62206e-19;3.23817e-19
-5e+10;0.00887939;-1.22116e-18;0.0044397
0;0.00887939;1.66184e-16;0
5e+10;0.00887939;-1.22116e-18;-0.0044397
1e+11;0.00887939;1.62206e-19;-3.23817e-19
1.5e+11;0.00887939;1.39156e-19;-3.19495e-19
2e+11;0.00887939;5.25833e-19;2.0021e-21
2.5e+11;0.00887939;3.25048e-19;3.00797e-21
-2.5e+11;0.00912562;4.20987e-19;1.63527e-22
-2e+11;0.00912562;4.75851e-19;3.15626e-19
-1.5e+11;0.00912562;2.47251e-19;7.88434e-19
-1e+11;0.00912562;2.89257e-19;-7.88125e-20
-5e+10;0.00912562;-1.39534e-18;0.00456281
0;0.00912562;2.18789e-16;0
5e+10;0.00912562;-1.39534e-18;-0.00456281
1e+11;0.00912562;2.89257e-19;7.88125e-20
1.5e+11;0.00912562;2.47251e-19;-7.88434e-19
2e+11;0.00912562;4.75851e-19;-3.15626e-19
2.5e+11;0.00912562;4.20987e-19;-1.63527e-22
-2.5e+11;0.00937185;2.13018e-19;-1.63566e-21
-2e+11;0.00937185;7.80135e-19;3.14653e-19
-1.5e+11;0.00937185;3.18772e-19;4.74666e-19
-1e+11;0.00937185;-1.56145e-19;-7.55988e-20
-5e+10;0.00937185;-1.43234e-18;0.00468593
0;0.00937185;-2.27981e-17;0
5e+10;0.00937185;-1.43234e-18;-0.00468593
1e+11;0.00937185;-1.56145e-19;7.55988e-20
1.5e+11;0.00937185;3.18772e-19;-4.74666e-19
2e+11;0.00937185;7.80135e-19;-3.14653e-19
2.5e+11;0.00937185;2.13018e-19;1.63566e-21
-2.5e+11;0.00961809;3.32088e-19;3.71107e-21
-2e+11;0.00961809;4.63875e-19;2.21241e-21
-1.5e+11;0.00961809;4.53729e-19;4.63659e-19
-1e+11;0.00961809;2.20657e-19;2.95728e-19
-5e+10;0.00961809;-1.46857e-18;0.00480904
0;0.00961809;-8.72528e-17;0
5e+10;0.00961809;-1.46857e-18;-0.00480904
1e+11;0.00961809;2.20657e-19;-2.95728e-19
1.5e+11;0.00961809;4.53729e-19;-4.63659e-19
2e+11;0.00961809;4.63875e-19;-2.21241e-21
2.5e+11;0.00961809;3.32088e-19;-3.71107e-21
-2.5e+11;0.00986432;2.6071e-19;-3.00322e-19
-2e+11;0.00986432;4.86711e-19;3.3837e-19
-1.5e+11;0.00986432;5.93886e-19;6.26785e-19
-1e+11;0.00986432;2.11103e-19;6.68733e-19
-5e+10;0.00986432;-1.60076e-18;0.00493216
0;0.00986432;4.4824e-16;0
5e+10;0.00986432;-1.60076e-18;-0.00493216
1e+11;0.00986432;2.11103e-19;-6.68733e-19
1.5e+11;0.00986432;5.93886e-19;-6.26785e-19
2e+11;0.00986432;4.86711e-19;-3.3837e-19
2.5e+11;0.00986432;2.6071e-19;3.00322e-19
-2.5e+11;0.0101105;3.06248e-19;3.01178e-19
-2e+11;0.0101105;6.79289e-19;2.95608e-19
-1.5e+11;0.0101105;4.80504e-19;-7.01608e-20
-1e+11;0.0101105;1.18042e-19;-1.96082e-19
-5e+10;0.0101105;-1.59391e-18;0.00505527
0;0.0101105;1.9007e-15;0
5e+10;0.0101105;-1.59391e-18;-0.00505527
1e+11;0.0101105;1.18042e-19;1.96082e-19
1.5e+11;0.0101105;4.80504e-19;7.01608e-20
2e+11;0.0101105;6.79289e-19;-2.95608e-19
2.5e+11;0.0101105;3.06248e-19;-3.01178e-19
-2.5e+11;0.0103568;4.55896e-19;-3.33046e-19
-2e+11;0.0103568;4.04848e-19;-1.55866e-20
-1.5e+11;0.0103568;4.46636e-19;8.11507e-19
-1e+11;0.0103568;6.92682e-20;-1.03529e-19
-5e+10;0.0103568;-1.68468e-18;0.00517839
0;0.0103568;3.95874e-15;0
5e+10;0.0103568;-1.68468e-18;-0.00517839
1e+11;0.0103568;6.92682e-20;1.03529e-19
1.5e+11;0.0103568;4.46636e-19;-8.11507e-19
2e+11;0.0103568;4.04848e-19;1.55866e-20
2.5e+11;0.0103568;4.55896e-19;3.33046e-19
-2.5e+11;0.010603;3.6716e-19;1.55302e-19
-2e+11;0.010603;7.14159e-19;-6.44044e-22
-1.5e+11;0.010603;4.49084e-19;9.49957e-19
-1e+11;0.010603;-1.62881e-19;4.01279e-19
-5e+10;0.010603;-1.61621e-18;0.0053015
0;0.010603;2.00795e-14;0
5e+10;0.010603;-1.61621e-18;-0.0053015
1e+11;0.010603;-1.62881e-19;-4.01279e-19
1.5e+11;0.010603;4.49084e-19;-9.49957e-19
2e+11;0.010603;7.14159e-19;6.44044e-22
2.5e+11;0.010603;3.6716e-19;-1.55302e-19
-2.5e+11;0.0108492;4.86856e-19;2.86411e-19
-2e+11;0.0108492;6.90031e-19;-3.69102e-21
-1.5e+11;0.0108492;3.19435e-19;5.73715e-19
-1e+11;0.0108492;-2.79747e-20;4.25994e-19
-5e+10;0.0108492;-1.63023e-18;0.00542462
0;0.0108492;6.58627e-14;0
5e+10;0.0108492;-1.63023e-18;-0.00542462
1e+11;0.0108492;-2.79747e-20;-4.25994e-19
1.5e+11;0.0108492;3.19435e-19;-5.73715e-19
2e+11;0.0108492;6.90031e-19;3.69102e-21
2.5e+11;0.0108492;4.86856e-19;-2.86411e-19
-2.5e+11;0.0110955;3.31089e-19;-3.16409e-19
-2e+11;0.0110955;6.43116e-19;3.13944e-19
-1.5e+11;0.0110955;4.948e-19;7.11229e-19
-1e+11;0.0110955;1.65295e-19;7.88143e-19
-5e+10;0.0110955;-1.73688e-18;0.00554774
0;0.0110955;4.32921e-13;0
5e+10;0.0110955;-1.73688e-18;-0.00554774
1e+11;0.0110955;1.65295e-19;-7.88143e-19
1.5e+11;0.0110955;4.948e-19;-7.11229e-19
2e+11;0.0110955;6.43116e-19;-3.13944e-19
2.5e+11;0.0110955;3.31089e-19;3.16409e-19
-2.5e+11;0.0113417;3.97329e-19;-6.29149e-19
-2e+11;0.0113417;6.21319e-19;6.31255e-19
-1.5e+11;0.0113417;3.01144e-19;8.66593e-19
-1e+11;0.0113417;1.8075e-19;1.57159e-19
-5e+10;0.0113417;-1.66167e-18;0.00567085
0;0.0113417;1.72202e-11;0
5e+10;0.0113417;-1.66167e-18;-0.00567085
1e+11;0.0113417;1.8075e-19;-1.57159e-19
1.5e+11;0.0113417;3.01144e-19;-8.66593e-19
2e+11;0.0113417;6.21319e-19;-6.31255e-19
2.5e+11;0.0113417;3.97329e-19;6.29149e-19
-2.5e+11;0.0115879;1.90514e-19;7.61923e-20
-2e+11;0.0115879;6.45115e-19;3.05722e-19
-1.5e+11;0.0115879;7.88296e-19;9.53638e-19
-1e+11;0.0115879;2.45822e-19;8.31548e-19
-5e+10;0.0115879;-1.95848e-18;0.00579397
0;0.0115879;1.29039e-11;0
5e+10;0.0115879;-1.95848e-18;-0.00579397
1e+11;0.0115879;2.45822e-19;-8.31548e-19
1.5e+11;0.0115879;7.88296e-19;-9.53638e-19
2e+11;0.0115879;6.45115e-19;-3.05722e-19
2.5e+11;0.0115879;1.90514e-19;-7.61923e-20
-2.5e+11;0.0118342;4.1331e-19;-1.18322e-19
-2e+11;0.0118342;8.00969e-19;2.63906e-20
-1.5e+11;0.0118342;3.39413e-19;5.41133e-19
-1e+11;0.0118342;9.95705e-20;6.01118e-19
-5e+10;0.0118342;-1.74875e-18;0.00591708
0;0.0118342;9.63445e-12;0
5e+10;0.0118342;-1.74875e-18;-0.00591708
1e+11;0.0118342;9.95705e-20;-6.01118e-19
1.5e+11;0.0118342;3.39413e-19;-5.41133e-19
2e+11;0.0118342;8.00969e-19;-2.63906e-20
2.5e+11;0.0118342;4.1331e-19;1.18322e-19
-2.5e+11;0.0120804;3.69352e-19;5.47238e-19
-2e+11;0.0120804;8.3479e-19;7.60784e-19
-1.5e+11;0.0120804;6.29559e-19;9.35741e-19
-1e+11;0.0120804;1.45824e-19;6.16549e-20
-5e+10;0.0120804;-1.96927e-18;0.0060402
0;0.0120804;-1.46286e-11;0
5e+10;0.0120804;-1.96927e-18;-0.0060402
