"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-2.5e+11;0.00715577;-0.00401549;-0.0058434
-2e+11;0.00715577;0.00872157;-0.0103495
-1.5e+11;0.00715577;0.000293776;0.0316553
-1e+11;0.00715577;-0.00611152;-0.00626962
-5e+10;0.00715577;-0.333741;-0.35818
0;0.00715577;1.36947e-17;0
5e+10;0.00715577;-0.333741;0.35818
1e+11;0.00715577;-0.00611152;0.00626962
1.5e+11;0.00715577;0.000293776;-0.0316553
2e+11;0.00715577;0.00872157;0.0103495
2.5e+11;0.00715577;-0.00401549;0.0058434
-2.5e+11;0.00740201;-0.00403769;-0.00651466
-2e+11;0.00740201;0.00871185;-0.0106261
-1.5e+11;0.00740201;0.000610973;0.0331204
-1e+11;0.00740201;-0.00657196;-0.0061336
-5e+10;0.00740201;-0.339787;-0.364639
0;0.00740201;3.72821e-16;0
5e+10;0.00740201;-0.339787;0.364639
1e+11;0.00740201;-0.00657196;0.0061336
1.5e+11;0.00740201;0.000610973;-0.0331204
2e+11;0.00740201;0.00871185;0.0106261
2.5e+11;0.00740201;-0.00403769;0.00651466
-2.5e+11;0.00764824;-0.00407772;-0.00719177
-2e+11;0.00764824;0.00865601;-0.0108874
-1.5e+11;0.00764824;0.000893065;0.0346231
-1e+11;0.00764824;-0.00702858;-0.0058773
-5e+10;0.00764824;-0.345729;-0.371112
0;0.00764824;6.99961e-16;0
5e+10;0.00764824;-0.345729;0.371112
1e+11;0.00764824;-0.00702858;0.0058773
1.5e+11;0.00764824;0.000893065;-0.0346231
2e+11;0.00764824;0.00865601;0.0108874
2.5e+11;0.00764824;-0.00407772;0.00719177
-2.5e+11;0.00789447;-0.00415815;-0.00787575
-2e+11;0.00789447;0.00852847;-0.0111231
-1.5e+11;0.00789447;0.00111023;0.0362011
-1e+11;0.00789447;-0.00748107;-0.0054503
-5e+10;0.00789447;-0.351484;-0.377506
0;0.00789447;1.05005e-15;0
5e+10;0.00789447;-0.351484;0.377506
1e+11;0.00789447;-0.00748107;0.0054503
1.5e+11;0.00789447;0.00111023;-0.0362011
2e+11;0.00789447;0.00852847;0.0111231
2.5e+11;0.00789447;-0.00415815;0.00787575
-2.5e+11;0.0081407;-0.00429325;-0.00857816
-2e+11;0.0081407;0.00829254;-0.0113336
-1.5e+11;0.0081407;0.00121352;0.0378941
-1e+11;0.0081407;-0.0079419;-0.00478076
-5e+10;0.0081407;-0.356916;-0.383683
0;0.0081407;-8.7822e-15;0
5e+10;0.0081407;-0.356916;0.383683
1e+11;0.0081407;-0.0079419;0.00478076
1.5e+11;0.0081407;0.00121352;-0.0378941
2e+11;0.0081407;0.00829254;0.0113336
2.5e+11;0.0081407;-0.00429325;0.00857816
-2.5e+11;0.00838693;-0.00446197;-0.00932611
-2e+11;0.00838693;0.00792337;-0.0115518
-1.5e+11;0.00838693;0.00114455;0.0397125
-1e+11;0.00838693;-0.00844494;-0.0038107
-5e+10;0.00838693;-0.361897;-0.389496
0;0.00838693;1.39031e-15;0
5e+10;0.00838693;-0.361897;0.389496
1e+11;0.00838693;-0.00844494;0.0038107
1.5e+11;0.00838693;0.00114455;-0.0397125
2e+11;0.00838693;0.00792337;0.0115518
2.5e+11;0.00838693;-0.00446197;0.00932611
-2.5e+11;0.00863316;-0.00461548;-0.0101474
-2e+11;0.00863316;0.0074272;-0.0118293
-1.5e+11;0.00863316;0.00086941;0.0416264
-1e+11;0.00863316;-0.00902799;-0.00253631
-5e+10;0.00863316;-0.366382;-0.394868
0;0.00863316;8.41625e-16;0
5e+10;0.00863316;-0.366382;0.394868
1e+11;0.00863316;-0.00902799;0.00253631
1.5e+11;0.00863316;0.00086941;-0.0416264
