"FREQ";"Y";"r xyce/V(VIN)";"i xyce/V(VIN)"
-5e+10;0.00460536;-0.00044104;0.19735
0;0.00460536;1.59467;0
5e+10;0.00460536;-0.00044104;-0.19735
1e+11;0.00460536;0.00780251;0.0130477
1.5e+11;0.00460536;0.000123238;-0.00339837
2e+11;0.00460536;0.000991412;0.00143082
2.5e+11;0.00460536;0.00102696;-0.000663766
-2.5e+11;0.00476924;0.000774296;0.000438768
-2e+11;0.00476924;0.00130257;-0.00146564
-1.5e+11;0.00476924;-0.000146091;0.00339364
-1e+11;0.00476924;0.00822793;-0.0138007
-5e+10;0.00476924;-0.00186536;0.204825
0;0.00476924;1.60764;0
5e+10;0.00476924;-0.00186536;-0.204825
1e+11;0.00476924;0.00822793;0.0138007
1.5e+11;0.00476924;-0.000146091;-0.00339364
2e+11;0.00476924;0.00130257;0.00146564
2.5e+11;0.00476924;0.000774296;-0.000438768
-2.5e+11;0.00493312;0.000532781;0.000204186
-2e+11;0.00493312;0.00161921;-0.00150823
-1.5e+11;0.00493312;-0.000419321;0.00345078
-1e+11;0.00493312;0.00855786;-0.0146494
-5e+10;0.00493312;-0.00304453;0.211819
0;0.00493312;1.61925;0
5e+10;0.00493312;-0.00304453;-0.211819
1e+11;0.00493312;0.00855786;0.0146494
1.5e+11;0.00493312;-0.000419321;-0.00345078
2e+11;0.00493312;0.00161921;0.00150823
2.5e+11;0.00493312;0.000532781;-0.000204186
-2.5e+11;0.005097;0.0003255;-3.3227e-05
-2e+11;0.005097;0.00193383;-0.001575
-1.5e+11;0.005097;-0.000686241;0.00362406
-1e+11;0.005097;0.00871836;-0.0156658
-5e+10;0.005097;-0.00378367;0.217976
0;0.005097;1.63408;0
5e+10;0.005097;-0.00378367;-0.217976
1e+11;0.005097;0.00871836;0.0156658
1.5e+11;0.005097;-0.000686241;-0.00362406
2e+11;0.005097;0.00193383;0.001575
2.5e+11;0.005097;0.0003255;3.3227e-05
-2.5e+11;0.00526088;0.000191994;-0.000265715
-2e+11;0.00526088;0.00224158;-0.00170123
-1.5e+11;0.00526088;-0.000930174;0.0040393
-1e+11;0.00526088;0.0085322;-0.0170149
-5e+10;0.00526088;-0.00366927;0.222456
0;0.00526088;1.6485;0
5e+10;0.00526088;-0.00366927;-0.222456
1e+11;0.00526088;0.0085322;0.0170149
1.5e+11;0.00526088;-0.000930174;-0.0040393
2e+11;0.00526088;0.00224158;0.00170123
2.5e+11;0.00526088;0.000191994;0.000265715
-2.5e+11;0.00542476;0.000194578;-0.000504384
-2e+11;0.00542476;0.00258893;-0.0019877
-1.5e+11;0.00542476;-0.00114275;0.00506958
-1e+11;0.00542476;0.00749277;-0.0191669
-5e+10;0.00542476;-0.00171459;0.222936
0;0.00542476;1.66006;0
5e+10;0.00542476;-0.00171459;-0.222936
1e+11;0.00542476;0.00749277;0.0191669
1.5e+11;0.00542476;-0.00114275;-0.00506958
2e+11;0.00542476;0.00258893;0.0019877
2.5e+11;0.00542476;0.000194578;0.000504384
-2.5e+11;0.00558864;0.000139783;-0.000976689
-2e+11;0.00558864;0.00334967;-0.00253045
-1.5e+11;0.00558864;-0.00152112;0.00718343
-1e+11;0.00558864;0.00509755;-0.0226561
-5e+10;0.00558864;0.0022524;0.217432
0;0.00558864;1.67029;0
5e+10;0.00558864;0.0022524;-0.217432
1e+11;0.00558864;0.00509755;0.0226561
1.5e+11;0.00558864;-0.00152112;-0.00718343
2e+11;0.00558864;0.00334967;0.00253045
2.5e+11;0.00558864;0.000139783;0.000976689
-2.5e+11;0.00575252;-0.000317383;-0.00180953
-2e+11;0.00575252;0.00457958;-0.00302704
-1.5e+11;0.00575252;-0.00217678;0.00935536
-1e+11;0.00575252;0.00278763;-0.0261752
-5e+10;0.00575252;0.00492514;0.212924
0;0.00575252;1.68479;0
5e+10;0.00575252;0.00492514;-0.212924
1e+11;0.00575252;0.00278763;0.0261752
1.5e+11;0.00575252;-0.00217678;-0.00935536
2e+11;0.00575252;0.00457958;0.00302704
2.5e+11;0.00575252;-0.000317383;0.00180953
-2.5e+11;0.0059164;-0.000949577;-0.00271497
-2e+11;0.0059164;0.00587346;-0.00345436
-1.5e+11;0.0059164;-0.0028296;0.0112802
-1e+11;0.0059164;0.000758253;-0.0293355
-5e+10;0.0059164;0.00643041;0.210293
0;0.0059164;1.69607;0
5e+10;0.0059164;0.00643041;-0.210293
1e+11;0.0059164;0.000758253;0.0293355
1.5e+11;0.0059164;-0.0028296;-0.0112802
2e+11;0.0059164;0.00587346;0.00345436
2.5e+11;0.0059164;-0.000949577;0.00271497
-2.5e+11;0.00608028;-0.0016365;-0.00355346
-2e+11;0.00608028;0.00708737;-0.00387883
-1.5e+11;0.00608028;-0.00333836;0.0130662
-1e+11;0.00608028;-0.00126324;-0.0322354
-5e+10;0.00608028;0.00731574;0.208408
0;0.00608028;1.70988;0
5e+10;0.00608028;0.00731574;-0.208408
1e+11;0.00608028;-0.00126324;0.0322354
1.5e+11;0.00608028;-0.00333836;-0.0130662
2e+11;0.00608028;0.00708737;0.00387883
2.5e+11;0.00608028;-0.0016365;0.00355346
-2.5e+11;0.00624416;-0.002307;-0.00424462
-2e+11;0.00624416;0.00815292;-0.00434924
-1.5e+11;0.00624416;-0.00366155;0.014752
-1e+11;0.00624416;-0.00331595;-0.034903
-5e+10;0.00624416;0.00773266;0.207076
0;0.00624416;1.72453;0
5e+10;0.00624416;0.00773266;-0.207076
1e+11;0.00624416;-0.00331595;0.034903
1.5e+11;0.00624416;-0.00366155;-0.014752
2e+11;0.00624416;0.00815292;0.00434924
2.5e+11;0.00624416;-0.002307;0.00424462
-2.5e+11;0.00640804;-0.00289829;-0.00474648
-2e+11;0.00640804;0.00905112;-0.00490868
-1.5e+11;0.00640804;-0.00383321;0.0163715
-1e+11;0.00640804;-0.00532835;-0.0373866
-5e+10;0.00640804;0.00778677;0.206395
0;0.00640804;1.73635;0
5e+10;0.00640804;0.00778677;-0.206395
1e+11;0.00640804;-0.00532835;0.0373866
1.5e+11;0.00640804;-0.00383321;-0.0163715
2e+11;0.00640804;0.00905112;0.00490868
2.5e+11;0.00640804;-0.00289829;0.00474648
-2.5e+11;0.00657192;-0.00340373;-0.00508661
-2e+11;0.00657192;0.00981332;-0.00555361
-1.5e+11;0.00657192;-0.00390517;0.0179487
-1e+11;0.00657192;-0.00726674;-0.0397433
-5e+10;0.00657192;0.00759063;0.206314
0;0.00657192;1.75053;0
5e+10;0.00657192;0.00759063;-0.206314
1e+11;0.00657192;-0.00726674;0.0397433
1.5e+11;0.00657192;-0.00390517;-0.0179487
2e+11;0.00657192;0.00981332;0.00555361
2.5e+11;0.00657192;-0.00340373;0.00508661
-2.5e+11;0.0067358;-0.00384444;-0.00531473
-2e+11;0.0067358;0.0104816;-0.00625921
-1.5e+11;0.0067358;-0.00391545;0.019497
-1e+11;0.0067358;-0.00913889;-0.0420166
-5e+10;0.0067358;0.00723273;0.206684
0;0.0067358;1.76524;0
5e+10;0.0067358;0.00723273;-0.206684
1e+11;0.0067358;-0.00913889;0.0420166
1.5e+11;0.0067358;-0.00391545;-0.019497
2e+11;0.0067358;0.0104816;0.00625921
2.5e+11;0.0067358;-0.00384444;0.00531473
-2.5e+11;0.00689968;-0.00424132;-0.00547049
-2e+11;0.00689968;0.0110879;-0.00700354
-1.5e+11;0.00689968;-0.00388699;0.0210253
-1e+11;0.00689968;-0.0109637;-0.0442351
-5e+10;0.00689968;0.00677165;0.207362
0;0.00689968;1.77945;0
5e+10;0.00689968;0.00677165;-0.207362
1e+11;0.00689968;-0.0109637;0.0442351
1.5e+11;0.00689968;-0.00388699;-0.0210253
2e+11;0.00689968;0.0110879;0.00700354
2.5e+11;0.00689968;-0.00424132;0.00547049
-2.5e+11;0.00706356;-0.00460915;-0.00558049
-2e+11;0.00706356;0.0116535;-0.00777122
-1.5e+11;0.00706356;-0.00383328;0.0225393
-1e+11;0.00706356;-0.0127578;-0.0464162
-5e+10;0.00706356;0.00624346;0.208243
0;0.00706356;1.79139;0
5e+10;0.00706356;0.00624346;-0.208243
1e+11;0.00706356;-0.0127578;0.0464162
1.5e+11;0.00706356;-0.00383328;-0.0225393
2e+11;0.00706356;0.0116535;0.00777122
2.5e+11;0.00706356;-0.00460915;0.00558049
-2.5e+11;0.00722744;-0.00495759;-0.00566154
-2e+11;0.00722744;0.0121915;-0.00855218
-1.5e+11;0.00722744;-0.00376193;0.0240424
-1e+11;0.00722744;-0.0145338;-0.0485703
-5e+10;0.00722744;0.00566988;0.209255
0;0.00722744;1.80417;0
5e+10;0.00722744;0.00566988;-0.209255
1e+11;0.00722744;-0.0145338;0.0485703
1.5e+11;0.00722744;-0.00376193;-0.0240424
2e+11;0.00722744;0.0121915;0.00855218
2.5e+11;0.00722744;-0.00495759;0.00566154
-2.5e+11;0.00739132;-0.00529269;-0.00572409
-2e+11;0.00739132;0.0127098;-0.00934003
-1.5e+11;0.00739132;-0.003677;0.0255369
-1e+11;0.00739132;-0.0163007;-0.0507033
-5e+10;0.00739132;0.00506363;0.210349
0;0.00739132;1.81619;0
5e+10;0.00739132;0.00506363;-0.210349
1e+11;0.00739132;-0.0163007;0.0507033
1.5e+11;0.00739132;-0.003677;-0.0255369
2e+11;0.00739132;0.0127098;0.00934003
2.5e+11;0.00739132;-0.00529269;0.00572409
-2.5e+11;0.0075552;-0.00561818;-0.00577464
-2e+11;0.0075552;0.0132133;-0.0101306
-1.5e+11;0.0075552;-0.00358057;0.0270239
-1e+11;0.0075552;-0.0180649;-0.0528184
-5e+10;0.0075552;0.00443206;0.211493
0;0.0075552;1.82975;0
5e+10;0.0075552;0.00443206;-0.211493
1e+11;0.0075552;-0.0180649;0.0528184
1.5e+11;0.0075552;-0.00358057;-0.0270239
2e+11;0.0075552;0.0132133;0.0101306
2.5e+11;0.0075552;-0.00561818;0.00577464
-2.5e+11;0.00771908;-0.00593634;-0.00581726
-2e+11;0.00771908;0.0137046;-0.0109213
-1.5e+11;0.00771908;-0.00347357;0.0285039
-1e+11;0.00771908;-0.0198306;-0.0549172
-5e+10;0.00771908;0.00377927;0.212666
0;0.00771908;1.84321;0
