"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-1.5e+11;0.005097;-0.0187937;-0.00283702
-1e+11;0.005097;-0.0762494;0.153429
-5e+10;0.005097;-0.392187;-0.367205
0;0.005097;3.30295e-12;0
5e+10;0.005097;-0.392187;0.367205
1e+11;0.005097;-0.0762494;-0.153429
1.5e+11;0.005097;-0.0187937;0.00283702
2e+11;0.005097;0.00922263;-0.0156332
2.5e+11;0.005097;-0.00375869;-0.0042188
-2.5e+11;0.00526088;-0.00356316;0.00411794
-2e+11;0.00526088;0.0106403;0.0162683
-1.5e+11;0.00526088;-0.0191223;-0.00201852
-1e+11;0.00526088;-0.0769001;0.15786
-5e+10;0.00526088;-0.401242;-0.372397
0;0.00526088;-1.31786e-11;0
5e+10;0.00526088;-0.401242;0.372397
1e+11;0.00526088;-0.0769001;-0.15786
1.5e+11;0.00526088;-0.0191223;0.00201852
2e+11;0.00526088;0.0106403;-0.0162683
2.5e+11;0.00526088;-0.00356316;-0.00411794
-2.5e+11;0.00542476;-0.00437665;0.00587398
-2e+11;0.00542476;0.0140687;0.0149441
-1.5e+11;0.00542476;-0.0229805;-0.000241787
-1e+11;0.00542476;-0.0714202;0.16096
-5e+10;0.00542476;-0.417153;-0.373921
0;0.00542476;8.24622e-10;0
5e+10;0.00542476;-0.417153;0.373921
1e+11;0.00542476;-0.0714202;-0.16096
1.5e+11;0.00542476;-0.0229805;0.000241787
2e+11;0.00542476;0.0140687;-0.0149441
2.5e+11;0.00542476;-0.00437665;-0.00587398
-2.5e+11;0.00558864;-0.00644214;0.00924337
-2e+11;0.00558864;0.0202786;0.0112184
-1.5e+11;0.00558864;-0.031082;0.00328363
-1e+11;0.00558864;-0.0577321;0.161044
-5e+10;0.00558864;-0.439288;-0.367859
0;0.00558864;3.15344e-11;0
5e+10;0.00558864;-0.439288;0.367859
1e+11;0.00558864;-0.0577321;-0.161044
1.5e+11;0.00558864;-0.031082;-0.00328363
2e+11;0.00558864;0.0202786;-0.0112184
2.5e+11;0.00558864;-0.00644214;-0.00924337
-2.5e+11;0.00575252;-0.00785114;0.0104895
-2e+11;0.00575252;0.0256446;0.00877124
-1.5e+11;0.00575252;-0.0368132;0.00699958
-1e+11;0.00575252;-0.0467806;0.160263
-5e+10;0.00575252;-0.454736;-0.359875
0;0.00575252;-8.20715e-10;0
5e+10;0.00575252;-0.454736;0.359875
1e+11;0.00575252;-0.0467806;-0.160263
1.5e+11;0.00575252;-0.0368132;-0.00699958
2e+11;0.00575252;0.0256446;-0.00877124
2.5e+11;0.00575252;-0.00785114;-0.0104895
-2.5e+11;0.0059164;-0.0085423;0.0102401
-2e+11;0.0059164;0.0295967;0.00746629
-1.5e+11;0.0059164;-0.0400678;0.0104655
-1e+11;0.0059164;-0.0392716;0.159562
-5e+10;0.0059164;-0.465345;-0.352633
0;0.0059164;-1.24428e-09;0
