"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-1.5e+11;0.00274898;-0.0143064;0.00672792
-1e+11;0.00274898;-0.00286257;0.0365266
-5e+10;0.00274898;-0.336964;-0.223514
0;0.00274898;-2.09229e-14;0
5e+10;0.00274898;-0.336964;0.223514
1e+11;0.00274898;-0.00286257;-0.0365266
1.5e+11;0.00274898;-0.0143064;-0.00672792
2e+11;0.00274898;-0.00643314;0.00412369
2.5e+11;0.00274898;0.000931893;0.00307552
-2.5e+11;0.00286938;0.000232888;-0.00281978
-2e+11;0.00286938;-0.00723357;-0.00450873
-1.5e+11;0.00286938;-0.0176336;0.00738421
-1e+11;0.00286938;-0.00529196;0.0440835
-5e+10;0.00286938;-0.343521;-0.23343
0;0.00286938;4.874e-14;0
5e+10;0.00286938;-0.343521;0.23343
1e+11;0.00286938;-0.00529196;-0.0440835
1.5e+11;0.00286938;-0.0176336;-0.00738421
2e+11;0.00286938;-0.00723357;0.00450873
2.5e+11;0.00286938;0.000232888;0.00281978
-2.5e+11;0.00298979;-0.00105096;-0.00174524
-2e+11;0.00298979;-0.00716776;-0.00439789
-1.5e+11;0.00298979;-0.0206437;0.00716349
-1e+11;0.00298979;-0.00876374;0.0516889
-5e+10;0.00298979;-0.348978;-0.242678
0;0.00298979;6.31409e-14;0
5e+10;0.00298979;-0.348978;0.242678
1e+11;0.00298979;-0.00876374;-0.0516889
1.5e+11;0.00298979;-0.0206437;-0.00716349
2e+11;0.00298979;-0.00716776;0.00439789
2.5e+11;0.00298979;-0.00105096;0.00174524
-2.5e+11;0.0031102;-0.00258863;-0.000224872
-2e+11;0.0031102;-0.0065492;-0.00400618
-1.5e+11;0.0031102;-0.0234034;0.00644587
-1e+11;0.0031102;-0.0127942;0.0593797
-5e+10;0.0031102;-0.353629;-0.251666
0;0.0031102;3.22634e-14;0
5e+10;0.0031102;-0.353629;0.251666
1e+11;0.0031102;-0.0127942;-0.0593797
1.5e+11;0.0031102;-0.0234034;-0.00644587
2e+11;0.0031102;-0.0065492;0.00400618
2.5e+11;0.0031102;-0.00258863;0.000224872
-2.5e+11;0.00323061;-0.00412073;0.00152535
-2e+11;0.00323061;-0.0054747;-0.00345236
-1.5e+11;0.00323061;-0.0258619;0.00543383
